📺全网,#genre#
CHC-高家庭影院,http://59.175.18.114:8888/rtp/239.69.1.243:11100
湖北卫视,http://59.175.18.114:8888/rtp/239.254.96.115:8664
江苏卫视,http://59.175.18.114:8888/rtp/239.254.96.144:8938
北京卫视,http://59.175.18.114:8888/rtp/239.254.96.141:8920
天津卫视,http://59.175.18.114:8888/rtp/239.69.1.68:10048
重庆卫视,http://59.175.18.114:8888/rtp/239.69.1.126:10394
东方卫视,http://59.175.18.114:8888/rtp/239.254.96.142:8926
安徽卫视,http://59.175.18.114:8888/rtp/239.69.1.70:10060
浙江卫视,http://59.175.18.114:8888/rtp/239.254.96.143:8932
深圳卫视,http://59.175.18.114:8888/rtp/239.254.96.137:8896
黑龙江卫视,http://59.175.18.114:8888/rtp/239.254.96.138:8902
吉林卫视,http://59.175.18.114:8888/rtp/239.69.1.212:10914
辽宁卫视,http://59.175.18.114:8888/rtp/239.69.1.71:10066
东南卫视,http://59.175.18.114:8888/rtp/239.69.1.108:10286
四川卫视,http://59.175.18.114:8888/rtp/239.69.1.169:10650
江西卫视,http://59.175.18.114:8888/rtp/239.69.1.126:10394
广东卫视,http://59.175.18.114:8888/rtp/239.254.96.140:8914
广西卫视,http://59.175.18.114:8888/rtp/239.69.1.191:10788
海南卫视,http://59.175.18.114:8888/rtp/239.69.1.151:10542
湖南卫视,http://59.175.18.114:8888/rtp/239.254.96.139:8908
贵州卫视,http://59.175.18.114:8888/rtp/239.69.1.150:10536
河北卫视,http://59.175.18.114:8888/rtp/239.254.96.113:9616
河南卫视,http://59.175.18.114:8888/rtp/239.69.1.168:10644
山东卫视,http://59.175.18.114:8888/rtp/239.69.1.69:10054
爱上4K,http://59.175.18.114:8888/rtp/239.69.1.141:10482
卡酷少儿,http://59.175.18.114:8888/rtp/239.69.1.193:10800
金鹰卡通,http://59.175.18.114:8888/rtp/239.69.1.248:11130
快乐垂钓,http://59.175.18.114:8888/rtp/239.69.1.142:10488
金鹰纪实,http://59.175.18.114:8888/rtp/239.69.1.109:10292

CCTV1,http://122.233.133.196:9999/rtp/233.50.201.118:5140
CCTV2,http://122.233.133.196:9999/rtp/233.50.201.119:5140
CCTV3,http://122.233.133.196:9999/rtp/233.50.201.196:5140
CCTV4,http://122.233.133.196:9999/rtp/233.50.201.4:5140
CCTV5,http://122.233.133.196:9999/rtp/233.50.201.197:5140
CCTV5+,http://122.233.133.196:9999/rtp/233.50.201.220:5140
CCTV6,http://122.233.133.196:9999/rtp/233.50.201.198:5140
CCTV7,http://122.233.133.196:9999/rtp/233.50.201.120:5140
CCTV8,http://122.233.133.196:9999/rtp/233.50.201.199:5140
CCTV9,http://122.233.133.196:9999/rtp/233.50.201.121:5140
CCTV10,http://122.233.133.196:9999/rtp/233.50.201.122:5140
CCTV11,http://122.233.133.196:9999/rtp/233.50.201.11:5140
CCTV12,http://122.233.133.196:9999/rtp/233.50.201.123:5140
CCTV13,http://122.233.133.196:9999/rtp/233.50.201.246:5140
CCTV14,http://122.233.133.196:9999/rtp/233.50.201.124:5140
CCTV15,http://122.233.133.196:9999/rtp/233.50.201.15:5140
CCTV16,http://122.233.133.196:9999/rtp/233.50.201.63:5140
CCTV16,http://122.233.133.196:9999/rtp/233.50.201.192:5140
CCTV17,http://122.233.133.196:9999/rtp/233.50.201.35:5140
凤凰卫视中文,http://122.233.133.196:9999/rtp/233.50.200.191:5140
凤凰卫视资讯,http://122.233.133.196:9999/rtp/233.50.200.192:5140
江苏卫视,http://122.233.133.196:9999/rtp/233.50.201.106:5140
北京卫视,http://122.233.133.196:9999/rtp/233.50.201.107:5140
天津卫视,http://122.233.133.196:9999/rtp/233.50.201.104:5140
重庆卫视,http://122.233.133.196:9999/rtp/233.50.201.143:5140
东方卫视,http://122.233.133.196:9999/rtp/233.50.201.125:5140
安徽卫视,http://122.233.133.196:9999/rtp/233.50.201.113:5140
浙江卫视,http://122.233.133.196:9999/rtp/233.50.201.100:5140
深圳卫视,http://122.233.133.196:9999/rtp/233.50.201.101:5140
黑龙江卫视,http://122.233.133.196:9999/rtp/233.50.201.115:5140
吉林卫视,http://122.233.133.196:9999/rtp/233.50.201.48:5140
辽宁卫视,http://122.233.133.196:9999/rtp/233.50.201.141:5140
东南卫视,http://122.233.133.196:9999/rtp/233.50.201.146:5140
四川卫视,http://122.233.133.196:9999/rtp/233.50.201.139:5140
江西卫视,http://122.233.133.196:9999/rtp/233.50.201.145:5140
广东卫视,http://122.233.133.196:9999/rtp/233.50.201.102:5140
广西卫视,http://122.233.133.196:9999/rtp/233.50.201.49:5140
海南卫视,http://122.233.133.196:9999/rtp/233.50.201.55:5140
湖北卫视,http://122.233.133.196:9999/rtp/233.50.201.114:5140
湖南卫视,http://122.233.133.196:9999/rtp/233.50.201.103:5140
贵州卫视,http://122.233.133.196:9999/rtp/233.50.201.142:5140
河北卫视,http://122.233.133.196:9999/rtp/233.50.201.140:5140
河南卫视,http://122.233.133.196:9999/rtp/233.50.201.144:5140
山东卫视,http://122.233.133.196:9999/rtp/233.50.201.105:5140
陕西卫视,http://122.233.133.196:9999/rtp/233.50.201.59:5140
山西卫视,http://122.233.133.196:9999/rtp/233.50.201.51:5140
宁夏卫视,http://122.233.133.196:9999/rtp/233.50.201.57:5140
甘肃卫视,http://122.233.133.196:9999/rtp/233.50.201.149:5140
云南卫视,http://122.233.133.196:9999/rtp/233.50.201.46:5140
内蒙卫视,http://122.233.133.196:9999/rtp/233.50.201.148:5140
青海卫视,http://122.233.133.196:9999/rtp/233.50.201.65:5140
西藏卫视,http://122.233.133.196:9999/rtp/233.50.201.70:5140


CCTV1,http://222.70.83.21:9009/udp/239.45.3.145:5140
CCTV2,http://222.70.83.21:9009/udp/239.45.1.109:5140
CCTV3,http://222.70.83.21:9009/udp/239.45.1.68:5140
CCTV4,http://222.70.83.21:9009/udp/239.45.0.2:5140
CCTV5,http://222.70.83.21:9009/udp/239.45.1.69:5140
五星体育,http://222.70.83.21:9009/udp/239.45.3.210:5140
CCTV6,http://222.70.83.21:9009/udp/239.45.1.70:5140
CCTV7,http://222.70.83.21:9009/udp/239.45.3.56:5140
CCTV8,http://222.70.83.21:9009/udp/239.45.1.71:5140
CCTV9,http://222.70.83.21:9009/udp/239.45.3.4:5140
CCTV10,http://222.70.83.21:9009/udp/239.45.3.8:5140
CCTV11,http://222.70.83.21:9009/udp/239.45.1.196:5140
CCTV12,http://222.70.83.21:9009/udp/239.45.3.10:5140
CCTV13,http://222.70.83.21:9009/udp/239.45.1.198:5140
CCTV14,http://222.70.83.21:9009/udp/239.45.3.23:5140
CCTV15,http://222.70.83.21:9009/udp/239.45.1.200:5140
CCTV17,http://222.70.83.21:9009/udp/239.45.3.52:5140
北京纪实科教,http://222.70.83.21:9009/udp/239.45.1.14:5140
全纪实,http://222.70.83.21:9009/udp/239.45.3.135:5140
东方影视,http://222.70.83.21:9009/udp/239.45.3.237:5140
欢笑剧场,http://222.70.83.21:9009/udp/239.45.3.196:5140
都市剧场,http://222.70.83.21:9009/udp/239.45.3.136:5140
纪实人文,http://222.70.83.21:9009/udp/239.45.3.212:5140
上海新闻综合,http://222.70.83.21:9009/udp/239.45.3.209:5140
江苏卫视,http://222.70.83.21:9009/udp/239.45.3.177:5140
北京卫视,http://222.70.83.21:9009/udp/239.45.3.229:5140
天津卫视,http://222.70.83.21:9009/udp/239.45.1.124:5140
重庆卫视,http://222.70.83.21:9009/udp/239.45.1.84:5140
东方卫视,http://222.70.83.21:9009/udp/239.45.3.146:5140
安徽卫视,http://222.70.83.21:9009/udp/239.45.1.120:5140
浙江卫视,http://222.70.83.21:9009/udp/239.45.3.178:5140
深圳卫视,http://222.70.83.21:9009/udp/239.45.3.231:5140
黑龙江卫视,http://222.70.83.21:9009/udp/239.45.3.232:5140
吉林卫视,http://222.70.83.21:9009/udp/239.45.0.6:5140
辽宁卫视,http://222.70.83.21:9009/udp/239.45.1.123:5140
东南卫视,http://222.70.83.21:9009/udp/239.45.1.121:5140
四川卫视,http://222.70.83.21:9009/udp/239.45.1.83:5140
江西卫视,http://222.70.83.21:9009/udp/239.45.1.122:5140
广东卫视,http://222.70.83.21:9009/udp/239.45.3.230:5140
广西卫视,http://222.70.83.21:9009/udp/239.45.0.5:5140
海南卫视,http://222.70.83.21:9009/udp/239.45.1.81:5140
湖北卫视,http://222.70.83.21:9009/udp/239.45.3.239:5140
湖南卫视,http://222.70.83.21:9009/udp/239.45.3.228:5140
贵州卫视,http://222.70.83.21:9009/udp/239.45.1.80:5140
河北卫视,http://222.70.83.21:9009/udp/239.45.1.44:5140
河南卫视,http://222.70.83.21:9009/udp/239.45.0.3:5140
山东卫视,http://222.70.83.21:9009/udp/239.45.3.238:5140
陕西卫视,http://222.70.83.21:9009/udp/239.45.1.232:5140
山西卫视,http://222.70.83.21:9009/udp/239.45.1.229:5140
宁夏卫视,http://222.70.83.21:9009/udp/239.45.1.213:5140
甘肃卫视,http://222.70.83.21:9009/udp/239.45.1.234:5140
云南卫视,http://222.70.83.21:9009/udp/239.45.0.4:5140
内蒙卫视,http://222.70.83.21:9009/udp/239.45.1.238:5140
青海卫视,http://222.70.83.21:9009/udp/239.45.1.230:5140
西藏卫视,http://222.70.83.21:9009/udp/239.45.1.231:5140
精英卡通,http://222.70.83.21:9009/udp/239.45.3.118:5140
嘉佳卡通,http://222.70.83.21:9009/udp/239.45.1.48:5140
动漫秀场,http://222.70.83.21:9009/udp/239.45.3.134:5140
东方财经,http://222.70.83.21:9009/udp/239.45.1.119:5140
法治天地,http://222.70.83.21:9009/udp/239.45.1.46:5140
生活时尚,http://222.70.83.21:9009/udp/239.45.3.132:5140


无锡新闻综合,http://stream.thmz.com/wxtv1/sd/live.m3u8?zjiangsd
无锡娱乐,http://stream.thmz.com/wxtv2/sd/live.m3u8?zjiangsd
无锡都市资讯,http://stream.thmz.com/wxtv3/sd/live.m3u8?zjiangsd
无锡生活,http://stream.thmz.com/wxtv4/sd/live.m3u8?zjiangsd
无锡经济,http://stream.thmz.com/wxtv5/sd/live.m3u8?zjiangsd
无锡新闻综合,http://stream.thmz.com/wxtv1/playlist.m3u8
无锡经济,http://stream.thmz.com/wxtv5/playlist.m3u8
无锡生活,http://stream.thmz.com/wxtv4/playlist.m3u8
无锡娱乐,http://stream.thmz.com/wxtv2/playlist.m3u8
无锡新闻综合,http://stream.thmz.com/wxtv1/sd/live.m3u8
无锡经济,http://stream.thmz.com/wxtv5/sd/live.m3u8
无锡生活,http://stream.thmz.com/wxtv4/sd/live.m3u8
无锡娱乐,http://stream.thmz.com/wxtv2/sd/live.m3u8
江阴新闻综合,http://221.228.70.101:8080/live/xinwen.m3u8

⚡嗅探直播,#genre#
CCTV1,video://https://yangshipin.cn/#/tv/home?pid=600001859
CCTV2,video://https://yangshipin.cn/#/tv/home?pid=600001800
CCTV3看不了,video://https://yangshipin.cn/#/tv/home?pid=600001801
CCTV4,video://https://yangshipin.cn/#/tv/home?pid=600001814
CCTV5,video://https://yangshipin.cn/#/tv/home?pid=600001818
CCTV5+,video://https://yangshipin.cn/#/tv/home?pid=600001817
CCTV6看不了,video://https://yangshipin.cn/#/tv/home?pid=600001802
CCTV7,video://https://yangshipin.cn/#/tv/home?pid=600004092
CCTV8看不了,video://https://yangshipin.cn/#/tv/home?pid=600001803
CCTV9,video://https://yangshipin.cn/#/tv/home?pid=600004078
CCTV10,video://https://yangshipin.cn/#/tv/home?pid=600001805
CCTV11,video://https://yangshipin.cn/#/tv/home?pid=600001806
CCTV12,video://https://yangshipin.cn/#/tv/home?pid=600001807
